id,dt,name,visibility,Lon,Lat,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,numclouds
5339111,1637716160,Concord,10000,-122.0311,37.978,14.65,13.92,12.25,16.67,1016,67,0.45,48,1
5367440,1637716160,Livermore,10000,-121.768,37.6819,13.79,12.87,11.72,15.85,1017,63,2.57,70,1
5378044,1637716160,Novato,10000,-122.5697,38.1074,14.66,14.14,12.35,16.77,1018,75,0,0,1
5327550,1637716160,Benicia,10000,-122.1586,38.0494,14.79,14.1,12.36,16.78,1017,68,1.54,80,1
5405380,1637716160,Vallejo,10000,-122.2566,38.1041,14.71,14.06,12.27,16.7,1017,70,0.89,166,1
5393052,1637716160,Santa Cruz,10000,-122.0308,36.9741,14.97,14.35,12.64,16.74,1015,70,2.68,38,100
5367314,1637716160,Live Oak,10000,-121.9805,36.9836,14.84,14.21,12.49,16.59,1015,70,0.89,310,1
5326561,1637716160,Bay Point,10000,-121.9616,38.0291,14.6,13.84,12.23,16.65,1016,66,1.34,358,1
5326563,1637716160,Bay Point,10000,-121.9419,38.0268,14.63,13.85,12.26,16.68,1017,65,1.34,358,1
5323694,1637716160,American Canyon,10000,-122.2608,38.1749,14.72,14.05,12.32,16.75,1017,69,0.89,166,1
5383465,1637716160,Pittsburg,10000,-121.8847,38.028,14.7,13.92,12.34,16.77,1017,65,1.34,358,1
5382232,1637716160,Petaluma,10000,-122.6367,38.2324,14.59,13.96,12.34,16.76,1017,71,0.45,203,1
5324200,1637716160,Antioch,10000,-121.8058,38.0049,14.62,13.81,12.68,16.75,1018,64,0.45,271,100
5330642,1637716160,Brentwood,10000,-121.7258,37.9269,14.42,13.64,12.55,16.62,1018,66,0.89,5,100
5374764,1637716160,Morgan Hill,10000,-121.6544,37.1305,14.44,13.58,11.75,16.09,1015,63,3.6,320,1
5378566,1637716160,Oakley,10000,-121.7124,37.9974,14.58,13.79,12.71,16.79,1018,65,0.89,338,100
5376095,1637716160,Napa,10000,-122.2855,38.2971,14.68,13.8,12.36,16.79,1018,61,2.57,230,1
5399629,1637716160,Suisun,10000,-122.0402,38.2383,14.75,13.82,12.39,16.81,1012,59,3.09,350,1
5347335,1637716160,Fairfield,10000,-122.04,38.2494,14.73,13.8,12.72,16.79,1012,59,3.09,350,1
5407529,1637716160,Watsonville,10000,-121.7569,36.9102,14.95,14.43,12.64,16.74,1015,74,2.57,120,1
5388564,1637716160,Rohnert Park,10000,-122.7011,38.3396,14.4,13.54,12.19,16.62,1017,63,1.79,260,100
5403191,1637716160,Tracy,10000,-121.4252,37.7397,14.03,13.63,12.66,16.7,1016,82,3.42,299,100
5352214,1637716160,Gilroy,10000,-121.5683,37.0058,14.8,13.98,12.31,16.41,1016,63,0.89,24,1
5405228,1637716160,Vacaville,10000,-121.9877,38.3566,14.36,13.31,12.5,16.46,1017,56,3.09,350,1
5393287,1637716160,Santa Rosa,10000,-122.7144,38.4405,14.28,13.41,11.6,16.08,1028,63,0.7,4,100
5385082,1637716160,Prunedale,10000,-121.6697,36.7758,14.59,14.14,12.56,16.66,1017,78,3.09,260,1
5370493,1637716160,Marina,10000,-121.8022,36.6844,14.14,13.75,12.36,16.66,1016,82,0.89,194,1
5380437,1637716160,Pacific Grove,10000,-121.9166,36.6177,13.5,13.07,11.94,16.43,1016,83,0.89,194,1
5365425,1637716160,Lathrop,6437,-121.2766,37.8227,13.63,13.16,11.86,15.88,1016,81,2.57,260,1
5374361,1637716160,Monterey,10000,-121.8947,36.6002,13.67,13.26,12.19,16.67,1016,83,0.89,194,1
5394136,1637716160,Seaside,10000,-121.8516,36.6111,13.77,13.34,12.21,16.7,1016,82,0.89,194,1
5370164,1637716160,Manteca,6437,-121.216,37.7974,13.55,13.08,12.02,15.61,1017,81,2.57,260,1
5399020,1637716160,Stockton,6437,-121.2908,37.9577,13.85,13.33,12.06,16.14,1017,78,2.57,260,1
5391295,1637716160,Salinas,10000,-121.6555,36.6777,14.2,13.69,12.35,16.66,1017,77,3.09,260,1
5410004,1637716160,Windsor,10000,-122.8164,38.5471,14.03,13.21,11.01,16.11,1017,66,0.92,349,92
5343303,1637716160,Dixon,10000,-121.8233,38.4455,14.77,13.66,12.74,16.56,1017,52,3.6,340,1
5381515,1637716160,Patterson,10000,-121.1297,37.4716,13.63,12.98,11.9,16.03,1016,74,4.76,318,100
5357499,1637716160,Hollister,10000,-121.4016,36.8525,14.68,13.8,11.89,16.19,1014,61,3.09,290,1
5367565,1637716160,Lodi,10000,-121.2725,38.1302,14.22,13.79,11.99,16.59,1015,80,0.45,355,100
5373900,1637716160,Modesto,3219,-120.9969,37.6391,13,12.5,11.15,15.32,1016,82,4.63,290,1
5341704,1637716160,Davis,10000,-121.7405,38.5449,14.92,13.77,12.77,16.59,1016,50,3.6,340,1
5351428,1637716160,Galt,10000,-121.3,38.2546,14.67,14.2,11.99,16.59,1016,77,0.45,355,100
5335650,1637716160,Ceres,3219,-120.9577,37.5949,12.99,12.41,11.14,15.31,1016,79,4.63,290,1
5364271,1637716160,Laguna,10000,-121.4238,38.421,15.04,14.27,12.74,16.1,1017,64,0.89,12,1
5387844,1637716160,Riverbank,3219,-120.9355,37.736,12.74,12.24,11.04,15.85,999,83,3.58,287,1
5346111,1637716160,Elk Grove,10000,-121.3716,38.4088,14.99,14.24,12.7,16.06,1017,65,0.45,287,1
5410430,1637716160,Woodland,10000,-121.7733,38.6785,14.85,13.77,12.8,16.03,1016,53,2.24,299,40
5404024,1637716160,Turlock,3219,-120.8466,37.4947,13.3,12.57,12.16,13.95,1016,72,4.63,290,1
5349613,1637716160,Florin,10000,-121.4088,38.496,15.02,14.22,12.3,16.63,1016,63,2.57,320,1
5408211,1637716160,West Sacramento,10000,-121.5302,38.5805,14.99,14.16,12.83,16.64,1018,62,1.34,10,1
7176039,1637716161,Vineyard,10000,-121.3469,38.4645,14.9,14.09,12.19,16.51,1017,63,0.45,287,40
5378500,1637716160,Oakdale,3219,-120.8472,37.7666,13.4,12.88,11.78,15.82,991,80,3.58,287,1
5389489,1637716160,Sacramento,10000,-121.4944,38.5816,14.97,14.17,12.3,16.63,1017,63,1.34,10,1
5388873,1637716160,Rosemont,10000,-121.3647,38.5518,14.93,14.15,12.27,16.06,1016,64,2.57,350,40
5368453,1637716160,Los Banos,10000,-120.8499,37.0583,13.45,12.73,12.13,16.53,1015,72,3.13,18,100
7260806,1637716161,Arden-Arcade,10000,-121.3785,38.6025,14.87,14.08,12.25,16.05,1016,64,2.57,330,1
5397018,1637716160,Soledad,10000,-121.3263,36.4247,14.33,12.11,11.89,16.14,1015,11,2.62,308,100
5385941,1637716160,Rancho Cordova,10000,-121.3027,38.5891,14.8,14.03,12.19,15.99,1016,65,2.57,350,40
5334336,1637716160,Carmichael,10000,-121.3283,38.6171,14.72,13.92,12.12,15.92,1015,64,2.57,350,40
5387687,1637716160,Rio Linda,10000,-121.4486,38.691,14.71,13.93,11.73,16.05,1016,65,1.34,320,1
5337908,1637716160,Clearlake,10000,-122.6264,38.9582,11.46,10.12,8.4,13.49,1018,56,0.56,349,13
5377640,1637716160,North Highlands,10000,-121.3722,38.6857,14.61,13.82,11.64,15.97,1015,65,2.57,330,1
